tierDescription|issueSymbolIdentifier|issueName|marketParticipantName|MPID|totalWeeklyShareQuantity|totalWeeklyTradeCount|lastUpdateDate
OTC|TLOOF|Trackloop Analytics Corporation Common Shares (Canada)|OTCX OTC LINK ECN ATS|OTCX|53075|3|2019-06-24
OTC|TLPFY|Teleperformance Unsponsored ADR (France)|ARCA GLOBAL OTC|ARCA|4875|33|2019-06-24
OTC|TLPFY|Teleperformance Unsponsored ADR (France)|OTCX OTC LINK ECN ATS|OTCX|4011|30|2019-06-24
OTC|TLRS|Timberline Resources Corp. Common Stock|OTCX OTC LINK ECN ATS|OTCX|184|1|2019-06-24
OTC|TLSNY|Telia Company AB American Depositary Receipts - Unsponsored|ARCA GLOBAL OTC|ARCA|62884|65|2019-06-24
OTC|TLSNY|Telia Company AB American Depositary Receipts - Unsponsored|OTCX OTC LINK ECN ATS|OTCX|2755|2|2019-06-24
OTC|TLSRP|Telos Corporation Preferred Stock|OTCX OTC LINK ECN ATS|OTCX|117|2|2019-06-24
OTC|TLSYY|Telstra Corporation Limited Common Stock|ARCA GLOBAL OTC|ARCA|13799|68|2019-06-24
OTC|TLSYY|Telstra Corporation Limited Common Stock|OTCX OTC LINK ECN ATS|OTCX|100|1|2019-06-24
OTC|TLVA|Revival, Inc. Common Stock|ARCA GLOBAL OTC|ARCA|2463|6|2019-06-24
OTC|TMAK|Touchmark Bancshares, Inc. Common Stock|OTCX OTC LINK ECN ATS|OTCX|200|1|2019-06-24
OTC|TMBXF|Tombstone Exploration Corporation Ordinary Shares (Canada)|ARCA GLOBAL OTC|ARCA|37700|2|2019-06-24
OTC|TMGI|The Marquie Group, Inc. Common Stock|ARCA GLOBAL OTC|ARCA|100000|1|2019-06-24
OTC|TMGI|The Marquie Group, Inc. Common Stock|OTCX OTC LINK ECN ATS|OTCX|800000|4|2019-06-24
OTC|TMIAF|TriMetals Mining Inc. Common Shares (Canada)|ARCA GLOBAL OTC|ARCA|14000|1|2019-06-24
OTC|TMICY|Trend Micro Incorporated American Depositary Shares|ARCA GLOBAL OTC|ARCA|2089|13|2019-06-24
OTC|TMMI|T M M Inc New Common Stock|OTCX OTC LINK ECN ATS|OTCX|4500|1|2019-06-24
OTC|TMPS|Tempus Applied Solutions Holdings, Inc. Common Stock|ARCA GLOBAL OTC|ARCA|2500|1|2019-06-24
OTC|TMRC|Texas Mineral Resources Corp. Common Stock|ARCA GLOBAL OTC|ARCA|1200|1|2019-06-24
OTC|TMRC|Texas Mineral Resources Corp. Common Stock|OTCX OTC LINK ECN ATS|OTCX|29300|29|2019-06-24
OTC|TMSNY|Temenos AG American Depositary Receipts - Sponsored|ARCA GLOBAL OTC|ARCA|430|18|2019-06-24
OTC|TMSNY|Temenos AG American Depositary Receipts - Sponsored|OTCX OTC LINK ECN ATS|OTCX|1|1|2019-06-24
OTC|TMTNF|Toromont Inds Ltd Cda Ordinary Shares|ARCA GLOBAL OTC|ARCA|100|1|2019-06-24
OTC|TNABY|Tenaga Nasional Berhad American Depositary Shares|ARCA GLOBAL OTC|ARCA|25|1|2019-06-24
OTC|TNEN|True North Energy Corporation Common Stock|OTCX OTC LINK ECN ATS|OTCX|293400|3|2019-06-24
OTC|TNLX|Trans-Lux Corporation Common Stock|ARCA GLOBAL OTC|ARCA|704|2|2019-06-24
OTC|TNLX|Trans-Lux Corporation Common Stock|OTCX OTC LINK ECN ATS|OTCX|9475|18|2019-06-24
