tierDescription|issueSymbolIdentifier|issueName|marketParticipantName|totalWeeklyShareQuantity|totalWeeklyTradeCount|lastUpdateDate
OTCE|AEXAF|Atos Origin SA Ordinary Shares (France)|De Minimis Firms|404|5|2019-06-03
OTCE|AEXAY|Atos Origin SA Unsponsored ADR (France)|De Minimis Firms|46345|350|2019-06-03
OTCE|AEXE|Aim Exploration Inc Common Stock|De Minimis Firms|164004035|36|2019-06-03
OTCE|AFCJF|AFC Ajax NV Amsterdam Ordinary Shares (Netherlands)|De Minimis Firms|258|4|2019-06-03
OTCE|AFFL|Affiliated Resources Corporation Common Stock|De Minimis Firms|2400|1|2019-06-03
OTCE|AFFN|Affinity Networks, Inc. Common Stock|De Minimis Firms|3|1|2019-06-03
OTCE|AFFS|AmTrust Financial Services, Inc. 7.25% Subordinated Notes Due 2055|De Minimis Firms|24962|76|2019-06-03
OTCE|AFFT|AmTrust Financial Services, Inc. 7.50% Subordinated Notes Due 2055|De Minimis Firms|15759|52|2019-06-03
OTCE|AFFY|Affymax, Inc. Common Stock|De Minimis Firms|29898|9|2019-06-03
OTCE|AFGC|Africa Growth Corporation Common Stock|De Minimis Firms|1|1|2019-06-03
OTCE|AFLYY|Air France ADS ADS|De Minimis Firms|345876|46|2019-06-03
OTCE|AFMJF|ALPHAMIN RESOURCES CORP. Ordinary Shares|De Minimis Firms|95565|5|2019-06-03
OTCE|AFNL|AmTrust Financial Corporation Common Stock|De Minimis Firms|200|2|2019-06-03
OTCE|AFOM|All For One Media Corp. Common Stock|De Minimis Firms|689700|46|2019-06-03
OTCE|AFPW|Alumifuel Power Corp. Common Stock|De Minimis Firms|3000001|4|2019-06-03
OTCE|AFRAF|Air France KLM Ordinary Shares (France)|De Minimis Firms|100000|1|2019-06-03
OTCE|AFRBY|African Rainbow Minerals Limited Sponsord ADR (South Africa)|De Minimis Firms|500|3|2019-06-03
OTCE|AFRMF|Alphaform Ag Ordinary Shares|De Minimis Firms|175|1|2019-06-03
